latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
46.119584788888886,7.021176561111111,996.2301,13.88028,71,2022,-664329.966
46.119574077777784,7.021177969444444,998.4869,13.88056,71,2022,-664569.492
46.11961992777778,7.021184791666666,997.78,13.88083,71,2022,-664809.228
46.11964966666667,7.0211902777777775,999.4525,13.88111,71,2022,-665042.378
46.119658566666665,7.021190908333333,998.7632,13.88139,71,2022,-665281.058
46.11965642777778,7.021190555555555,999.4252,13.88167,71,2022,-665516.496
46.119659513888905,7.021194647222222,1000.498,13.88194,71,2022,-665751.546
46.119663808333335,7.0211995555555555,1001.397,13.88222,71,2022,-665987.392
46.11966564722222,7.021201938888889,1001.4345,13.88250,71,2022,-666219.691
46.11966683055556,7.021204022222222,1001.6392,13.88278,71,2022,-666461.929
46.11966785,7.021206541666666,1002.1068,13.88306,71,2022,-666700.127
46.119666166666676,7.021208791666667,1002.7769,13.88333,71,2022,-666938.938
46.11966365555556,7.0212116388888886,1003.0044,13.88361,71,2022,-667170.403
46.119661,7.021214180555556,1003.5206,13.88389,71,2022,-667414.102
46.11966043611111,7.021219105555557,1003.9351,13.88417,71,2022,-667652.159
46.11965768611111,7.0212231805555545,1004.501,13.88444,71,2022,-667886.907
46.119656327777776,7.0212244777777775,1004.0401,13.88472,71,2022,-668126.478
46.11965584166666,7.0212286722222235,1004.2534,13.88500,71,2022,-668366.570
46.11965615277778,7.021232466666667,1004.6742,13.88528,71,2022,-668605.600
46.11965543888889,7.021234005555556,1004.7457,13.88556,71,2022,-668844.699
46.119653625,7.021234380555556,1004.5122,13.88583,71,2022,-669084.150
46.119656666666664,7.021236458333332,1004.816,13.88611,71,2022,-669322.167
46.11965543611111,7.02123565,1004.519,13.88639,71,2022,-669561.411
46.119657608333334,7.021237838888889,1004.5113,13.88667,71,2022,-669799.455
46.119657811111104,7.021240200000001,1004.7586,13.88694,71,2022,-670037.412
46.11966094444445,7.021243852777777,1005.1131,13.88722,71,2022,-670275.024
46.1196607,7.021246958333333,1005.2877,13.88750,71,2022,-670512.863
46.11965872500001,7.021250219444444,1005.5644,13.88778,71,2022,-670750.969
46.119656633333335,7.021253005555556,1005.7854,13.88806,71,2022,-670989.210
46.11965585555556,7.021255605555555,1005.9167,13.88833,71,2022,-671227.657
46.119655102777784,7.021258091666667,1006.0544,13.88861,71,2022,-671463.079
46.11965388888889,7.021260077777778,1006.2564,13.88889,71,2022,-671705.026
46.11965279166667,7.021261583333334,1006.2984,13.88917,71,2022,-671941.985
46.119651366666666,7.021262152777778,1006.2181,13.88944,71,2022,-672179.353
46.11965022777778,7.021261433333334,1006.2577,13.88972,71,2022,-672419.991
46.11964901666667,7.0212605833333335,1006.2785,13.89000,71,2022,-672660.108
46.11964645555556,7.021259102777778,1006.0781,13.89028,71,2022,-672899.202
46.11964651666668,7.021258580555555,1006.1503,13.89056,71,2022,-673138.566
46.119644422222215,7.021257283333333,1006.1331,13.89083,71,2022,-673378.320
46.119643047222226,7.0212553444444445,1005.6969,13.89111,71,2022,-673618.554
46.11964176388888,7.021254833333332,1005.8718,13.89139,71,2022,-673857.395
46.119639883333335,7.0212534472222226,1005.7085,13.89167,71,2022,-674097.069
46.11963904166667,7.021252719444444,1005.5665,13.89194,71,2022,-674333.329
46.11963798333334,7.021252461111111,1005.5894,13.89222,71,2022,-674576.913
46.11963669722221,7.021251902777777,1005.6038,13.89250,71,2022,-674814.841
46.11963627777778,7.021251555555556,1005.5065,13.89278,71,2022,-675052.366
46.11963547777778,7.021251683333334,1005.5893,13.89306,71,2022,-675293.886
46.11963586944445,7.021251472222223,1005.6397,13.89333,71,2022,-675533.318
46.11963440833333,7.021250397222222,1005.4758,13.89361,71,2022,-675772.462
46.119633952777775,7.021249408333333,1005.3136,13.89389,71,2022,-676013.145
46.11963422777778,7.021248672222221,1005.1358,13.89417,71,2022,-676253.335
46.119633875,7.021248233333333,1004.9671,13.89444,71,2022,-676492.773
46.11963308333333,7.021247669444445,1004.8963,13.89472,71,2022,-676732.622
46.11963276388889,7.0212470527777775,1004.757,13.89500,71,2022,-676971.902
46.119632275,7.021246272222222,1004.5901,13.89528,71,2022,-677211.518
46.11963186111111,7.021245427777778,1004.458,13.89556,71,2022,-677451.379
46.11963258055555,7.021244591666668,1004.2624,13.89583,71,2022,-677690.893
46.119633272222224,7.0212440166666665,1004.2004,13.89611,71,2022,-677930.135
46.11964404722222,7.021193119444444,1003.659,13.89972,71,2022,-87881.897
46.119645769444446,7.021184394444443,1003.5512,13.90361,71,2022,262598.576
46.11963776666667,7.021174291666666,1002.6241,13.91167,71,2022,221736.931
46.119630405555554,7.021164777777778,1001.8058,13.91194,71,2022,-778506.906
46.1196228638889,7.021155258333334,1000.9524,13.91222,71,2022,-778745.488
46.11961559166667,7.021146191666666,1000.09,13.91250,71,2022,-778987.496
46.11960816111111,7.021137033333332,999.2711,13.91278,71,2022,2220773.332
46.11960803611111,7.021138591666666,999.297,13.91333,71,2022,-779706.480
46.11960813333334,7.021140261111111,999.4195,13.91361,71,2022,-779946.799
46.119607736111114,7.021141855555555,999.4485,13.91389,71,2022,2219817.728
46.119607611111114,7.021143502777777,999.5328,13.91417,71,2022,-780424.939
46.11960772222222,7.021144544444445,999.4724,13.91444,71,2022,-780663.104
46.11960715277779,7.021145755555556,999.5056,13.91472,71,2022,-780902.117
46.11960695,7.02114676111111,999.4725,13.91500,71,2022,-781140.973
46.11960647777778,7.021147766666666,999.4731,13.91528,71,2022,-781379.916
