EPSG:32634
G0272871.JPG	688828.2188196625	4144506.0152988480	36.110	0	0	0	0.000	0.000
G0272859.JPG	688828.2424929214	4144505.1525274031	36.102	0	0	0	0.000	0.000
G0272870.JPG	688828.2478170423	4144505.5734080980	36.121	0	0	0	0.000	0.000
G0272864.JPG	688828.1875316399	4144506.2378556440	36.072	0	0	0	0.000	0.000
G0272877.JPG	688828.1682121184	4144506.2143623196	36.081	0	0	0	0.000	0.000
G0272863.JPG	688828.2146504268	4144505.9356718785	36.105	0	0	0	0.000	0.000
G0272889.JPG	688828.2594006048	4144505.5620556925	36.170	0	0	0	0.000	0.000
G0272862.JPG	688828.2348035638	4144505.7336239112	36.096	0	0	0	0.000	0.000
G0272876.JPG	688828.1661042140	4144505.4808009216	36.133	0	0	0	0.000	0.000
G0272860.JPG	688828.2470355970	4144505.3209787398	36.109	0	0	0	0.000	0.000
G0272861.JPG	688828.2337164269	4144505.5345653240	36.100	0	0	0	0.000	0.000
G0272890.JPG	688828.2583883441	4144506.1511013648	36.100	0	0	0	0.000	0.000
G0272869.JPG	688828.2558627495	4144505.1868906845	36.116	0	0	0	0.000	0.000
G0272882.JPG	688828.2187166248	4144505.5758453268	36.239	0	0	0	0.000	0.000
G0272883.JPG	688828.2157716195	4144506.1924897223	36.182	0	0	0	0.000	0.000
